step = 0, score = 0.14203335034294254
step = 1, score = 0.47027435550980967
step = 2, score = 0.4982412987135301
step = 3, score = 0.5120057167744623
step = 4, score = 0.5135212433712042
with extension = 1, score = 0.5359752903038285
with extension = 2, score = 0.5369839706372945
with extension = 3, score = 0.5365656855568602
with extension = 4, score = 0.5373998248508405
with extension = 5, score = 0.5366900153815248
