index,niter,value,w1,w2,w3
max,188.53667005979858,0.47888684445372587,1.2,0.3,0.4
0,190.0,0.46397618531036033,1.1713433865957872,0.7,0.1
1,170.55167251610797,0.45357641069275234,0.9000002450554341,0.7,0.10000017572656031
2,182.29584773225943,0.4644264779375623,0.9,0.7,0.4
3,150.33227635814245,0.471760104722098,1.2,0.3,0.4
4,162.2735778636966,0.4758821469342024,1.1961402416442872,0.30000001306855634,0.4
5,182.48588193588682,0.43101507815368145,1.2,0.3000000023339004,0.1
6,190.0,0.4660936839706352,0.9,0.3,0.4
7,140.0,0.4428353320417102,1.2,0.7,0.4
8,159.58393983969805,0.4607302282874263,0.9,0.7,0.4
9,176.85572965882,0.4517043489869559,1.2,0.7,0.4
10,187.02224871471054,0.4647797992257064,0.9,0.7,0.4
11,166.3320242164885,0.46736290005341746,0.9,0.3,0.4
12,156.82493930124232,0.46733196480960726,0.9,0.3,0.4
13,162.11239587234303,0.37724010436755406,0.9,0.3,0.1
14,146.1346752044946,0.4450277172832889,1.2,0.7,0.4
15,153.69006241372765,0.4462765005943554,1.2,0.7,0.4
16,169.86500562427284,0.47702697827884555,1.2,0.3,0.4
17,173.22666427410283,0.4513261139071421,1.2,0.7,0.4
18,157.80092838259282,0.44773574937931704,1.2,0.7,0.4
19,147.9200486464924,0.3798165211088922,0.9,0.3,0.1
20,179.43001094186377,0.46753726123417616,0.9,0.3,0.4
21,164.71229526557795,0.44934474426396004,1.2,0.7,0.4
22,167.9035793793119,0.44985740835714305,1.2,0.7,0.4
23,159.763764242258,0.47492224971415864,1.2,0.3,0.4
24,144.1441573214525,0.4707012515217477,1.2,0.3,0.4
25,171.94230012672045,0.46807875697096224,0.9,0.3,0.4
26,184.99798987644962,0.3729477790777816,0.9,0.3,0.1
27,188.53667005979858,0.47888684445372587,1.2,0.3,0.4
28,143.18699591824574,0.45818766706591935,0.9,0.7,0.4
29,180.33990210644555,0.45252196204453804,0.9,0.7,0.1
30,188.95331343724166,0.4647652004210633,0.9,0.7,0.4
31,152.03054002722754,0.37933658469792353,0.9,0.3,0.1
32,155.23697152663706,0.47356527249719305,1.2,0.3,0.4
33,141.67969272884537,0.4694586093423271,1.2,0.3,0.4
34,149.51865452541801,0.4453270548180661,1.2,0.7,0.4
35,190.0,0.4534619181252585,1.2,0.7,0.4
36,140.0,0.4648829465475672,0.9,0.3,0.4
37,180.79341119302305,0.45217809888180804,1.2,0.7,0.4
38,175.0478356148332,0.46406132511967635,0.9,0.7,0.4
39,173.8910732835645,0.3752299523833427,0.9,0.3,0.1
