c1,c2,index,niter,value,w1,w2,w3,w4
1.113415330542698,1.007881322601938,max,145.49088580480966,0.4923714527367843,0.9383402950723543,0.48813042801551837,0.1964159260314497,0.020657024798132154
0.5,5.0,0,140.0,0.25038836427843475,0.9,0.7,0.4,0.1
1.5,0.1,1,190.0,0.4118913408680882,1.2,0.3,0.1,0.0
0.5,0.1,2,167.2275955740592,0.4272211376436321,0.9,0.7,0.4,0.0
0.5,0.1,3,152.03804168126982,0.25150344678607317,1.2,0.7,0.4,0.1
0.5,5.0,4,190.0,0.26673662517291763,0.9,0.7,0.4,0.1
1.5,0.1,5,140.0,0.422348925348214,1.2,0.3,0.1,0.0
0.5,0.1,6,181.26060675112274,0.2923907284060704,0.9,0.3,0.1,0.1
0.5,5.0,7,166.76384869099073,0.36939198208981266,0.9,0.3,0.1,0.0
1.5,5.0,8,148.76907277258763,0.4197415423931777,1.2,0.3,0.1,0.0
1.5,0.1,9,172.17950479126398,0.31782914805489876,1.2,0.3,0.1,0.1
1.5,0.1,10,162.62841801750903,0.36762593170918356,0.9,0.3,0.1,0.0
1.5,5.0,11,182.89970558513,0.4401769507468877,1.2,0.7,0.4,0.0
0.5,0.1,12,143.20011736039658,0.3933765867801212,1.2,0.7,0.4,0.0
1.5,2.630044809773546,13,144.13673978401397,0.30647897500958254,1.2,0.3,0.4,0.1
1.5,5.0,14,154.04780946585007,0.44783011498315717,0.9,0.7,0.1,0.0
1.5,0.1,15,147.54068061752267,0.4476954440805626,0.9,0.7,0.1,0.0
1.5,0.1,16,186.15800066041058,0.4546757424531092,0.9,0.7,0.4,0.0
0.5,5.0,17,151.50355895182162,0.27954156931563034,0.9,0.3,0.1,0.1
1.5,5.0,18,170.44155805459695,0.4406424516250297,1.2,0.7,0.4,0.0
0.5,2.7756917014119216,19,186.03703589145167,0.4171207759840646,1.2,0.3,0.1,0.0
1.5,5.0,20,163.26478564632214,0.4577750633252404,0.9,0.7,0.4,0.0
1.5,2.3351436580725338,21,166.7053690981463,0.28501567749279955,1.2,0.7,0.1,0.1
1.5,0.1,22,157.4255650564126,0.45685799836123425,0.9,0.7,0.4,0.0
0.5,5.0,23,179.7329552384104,0.43955181285647776,0.9,0.3,0.4,0.0
0.5,0.1,24,188.67314272447996,0.26753613628193146,0.9,0.7,0.4,0.1
1.5,5.0,25,186.75807355324244,0.36310421091038514,0.9,0.3,0.1,0.0
0.5,0.1,26,160.18298738466987,0.42269283161872173,0.9,0.7,0.4,0.0
1.5,2.3571898469018286,27,183.30174259163698,0.4551900624790833,0.9,0.3,0.4,0.0
0.5,2.6883831186043197,28,146.90409194417612,0.41865399726421704,0.9,0.7,0.1,0.0
0.5,5.0,29,172.46457779543087,0.43942574387115707,1.2,0.3,0.4,0.0
0.5,0.1,30,145.76656856262372,0.3714286819117206,0.9,0.3,0.1,0.0
1.5,2.983196605833551,31,150.21787120365977,0.45697457511167683,0.9,0.7,0.4,0.0
1.5,0.1,32,143.9092772245787,0.44874259791690285,0.9,0.7,0.1,0.0
0.5,0.1,33,140.0,0.260870305851446,0.9,0.7,0.1,0.1
1.5,5.0,34,178.5897436073951,0.41235522682915154,1.2,0.3,0.1,0.0
1.5,1.3354925345391024,35,146.606506081616,0.44007809192017505,1.2,0.7,0.4,0.0
0.5,0.1,36,176.1841752513817,0.41854261941521975,1.2,0.7,0.4,0.0
1.5,1.9152014389882168,37,154.46879109689223,0.3721700393337285,0.9,0.3,0.1,0.0
0.5,5.0,38,160.88160794895538,0.420958839333442,0.9,0.7,0.1,0.0
