w_a1,w_z1,w_z2,w_xy_rt,value,label
0.9000000322992001,0.394039489016517,0.1705296209620084,0.010000010197955064,0.5081863795823104,max
1.2,0.7,0.1,0.01,0.47124739789264114,0
0.9,0.3,0.1,0.2,0.22104671098649034,1
1.2,0.3,0.1,0.01,0.49964805097910114,2
0.9,0.7,0.1,0.01,0.4862331434678011,3
0.9,0.3,0.1,0.01,0.4893231038912102,4
0.9,0.3,0.4,0.01,0.48945789813540497,5
1.2,0.3,0.4,0.01,0.47539534550694923,6
0.9,0.4828108593490198,0.15842387807420155,0.01,0.504288604255127,7
1.0608067208642011,0.4887520331177646,0.1,0.01,0.5003089752774409,8
1.2,0.43193762192430846,0.16814732164575713,0.01,0.4959349636178755,9
0.9,0.3,0.25018377404977993,0.01,0.5021127821097815,10
1.1999999999851119,0.30000000000169924,0.2076557605945909,0.01,0.4982225189728955,11
0.900067687915831,0.40685092802451067,0.23864431596442476,0.01,0.5025450996610927,12
1.199999999998206,0.43225499813375257,0.10000000018425896,0.01,0.4987233516145517,13
0.978012766217956,0.39996716142244926,0.14681885595670474,0.010000000023550728,0.5069967883784454,14
1.0739981723707697,0.3634796049768177,0.14170502506089747,0.01,0.504966338251327,15
0.963441289548817,0.4268553343765235,0.10015278068883629,0.01,0.5030595359540699,16
0.9723748606398503,0.3924393466932281,0.18841551285197414,0.010000002615454726,0.505853433780356,17
0.9000000322992001,0.394039489016517,0.1705296209620084,0.010000010197955064,0.5081863795823104,18
0.9467002995186189,0.37075344210679384,0.16120170140646303,0.01,0.5072491262993758,19
0.9512677245172874,0.3972750942969398,0.16338830494188616,0.010079411330035462,0.5069314666195254,20
0.9,0.39546985166584003,0.144685519048006,0.010001069947852177,0.5072322299545222,21
0.9048657357030765,0.36535599844911026,0.17596333997129887,0.010000256607578454,0.506852201531485,22
1.0234755351850557,0.3085142013723603,0.1913455950100213,0.010195201055896934,0.504324126644775,23
0.9898540372647168,0.37054010145587873,0.1603349369145051,0.010280006811236397,0.507064598132503,24
1.0142182215209032,0.36474392723653526,0.15923886956087852,0.010014010155914735,0.5066377362885917,25
1.1999999403604678,0.699999835147323,0.3999999853578829,0.01,0.4357198257881305,26
0.9,0.4082379617787502,0.17134671865295534,0.01,0.507085938411356,27
0.900000001120243,0.7,0.4,0.010000001843599908,0.4566668064450538,28
0.9,0.6999999938700601,0.2512127706286695,0.011506907962539935,0.47388720150117586,29
0.9078060018287811,0.5643367113625404,0.10072669811034574,0.010760946525084822,0.49917226572111606,30
1.028149029566062,0.6876885593734815,0.13700085724427136,0.010389887444844823,0.48022649168146375,31
1.1960998235424856,0.5978163183799561,0.15681146888670516,0.010289573551782609,0.4794459632419049,32
1.0851000154404318,0.3,0.10000136877330919,0.01,0.4991000750814746,33
1.106984793359228,0.3093581844949853,0.20828112533570012,0.010064787976651276,0.5015665578287587,34
0.9168074976501658,0.5990970621918857,0.19089745677821723,0.010039105179324532,0.49175127436936733,35
0.905320958068011,0.32965315060678485,0.3104246990436918,0.010017166119518391,0.4982518716297067,36
1.1419984081743546,0.3729797730062109,0.140594125136903,0.01007412230192471,0.5032508366613824,37
0.9066744382931633,0.3841546972255773,0.18944821689222607,0.010019483804425331,0.5072031892777794,38
0.9000005780544406,0.49292508756757436,0.10508638629858189,0.010000340774549716,0.502619577591216,39
