c_rt1,c_rt2,index,value,w_a1,w_xy_rt,w_z1,w_z2
1.3300746654561855,1.9252203067378106,max,0.5165462649616765,0.9029097160169526,0.010808586662591772,0.35799596549171564,0.22960164499475433
1.5,0.1,0,0.49423357893564734,1.2,0.01,0.3,0.1
1.5,3.4036514065471506,1,0.49472912335278835,1.2,0.01,0.3,0.1
1.5,5.0,2,0.43731406662374384,1.2,0.010000000000000009,0.7,0.4
0.5,0.10000000000000009,3,0.432669675435536,0.9,0.01,0.3,0.4
1.5,1.8979711428563801,4,0.49626617876770096,0.9,0.01,0.3,0.4
1.5,3.103078979789372,5,0.46267326310522094,0.9,0.01,0.7,0.4
1.5,0.1,6,0.4629624188100525,0.9,0.010000000000000009,0.7,0.4
1.5,5.0,7,0.49162253191022887,0.9,0.01,0.3,0.1
0.5,3.017505670232813,8,0.4283031841855768,1.2,0.01,0.3,0.4
0.5,5.0,9,0.4241339949813169,1.2,0.01,0.7,0.1
1.5,2.240138541022151,10,0.4682226111758037,1.2,0.01,0.7,0.1
1.5,2.621339763280129,11,0.48955530834632255,0.9,0.01,0.3,0.1
0.5,0.1,12,0.42237353128091104,1.2,0.01,0.7,0.1
1.5,0.8450343236781713,13,0.47866249347919176,1.2,0.01,0.3,0.4
1.5,4.362908830377899,14,0.49050859064684205,0.9,0.01,0.7,0.1
1.5,0.8341300601390775,15,0.4922109376341596,0.9,0.01,0.3,0.1
0.7847446893162309,3.3238837335721167,16,0.4674533181930844,1.2,0.01,0.7,0.1
1.5,4.594073633538923,17,0.49232763369439797,1.2,0.01,0.3,0.1
1.1864414906543919,2.5376945847035155,18,0.48633644478563404,1.2,0.01,0.3,0.4
1.5,5.0,19,0.4692323339805719,1.2,0.01,0.7,0.1
0.5,1.4305943817194164,20,0.4392626914725677,1.2,0.01,0.3,0.1
0.818108391442901,2.9472367335608864,21,0.47091061238061044,0.9,0.01,0.3,0.1
1.5,0.1,22,0.49667107450621695,0.9,0.01,0.3,0.4
1.0619683386866587,0.1,23,0.4900229331968994,0.9,0.01,0.3,0.1
1.5,1.7102852069598893,24,0.495061788467064,1.2,0.01,0.3,0.1
1.5,3.954210266627887,25,0.4918524691211527,0.9,0.01,0.3,0.1
0.8491763929044338,2.4086937864282567,26,0.48767884629503067,1.2,0.01,0.3,0.1
1.5,0.1,27,0.4918757366240864,0.9,0.01,0.3,0.1
1.1412078651469255,1.661198875680405,28,0.4885020854726214,0.9,0.01,0.3,0.1
1.0515519499398764,0.1,29,0.48417362898526606,1.2,0.01,0.3,0.4
1.5,3.84002949223085,30,0.46890963006395536,1.2,0.01,0.7,0.1
1.089207524831118,5.0,31,0.48785310129568715,0.9,0.01,0.7,0.1
1.0399066985065468,5.0,32,0.5034550103238667,1.1935104775832757,0.01,0.3,0.1
1.1613404709983615,4.647632513393995,33,0.4947537136874228,0.9,0.01,0.3,0.1
1.1610527135009194,4.024280874034874,34,0.5027564946386971,1.2,0.01,0.3,0.1
1.5,1.3916389560751659,35,0.48753285050607054,0.9,0.01,0.7,0.1
1.0917087240101457,2.392557427763954,36,0.48963975841436985,0.9,0.01,0.7,0.1
1.07526378498388,1.2470785440384455,37,0.4637898735947448,0.9,0.01,0.7,0.4
1.1499425264459704,4.731669848569214,38,0.5011228758874848,1.1999999898947509,0.01,0.43995930496625296,0.1
1.146268527325423,3.0587809092698217,39,0.5048880053398901,1.2,0.01,0.412894286912752,0.10000000284009636
1.4919722517506768,1.49055757991404,40,0.5078234355237025,0.9,0.01,0.30909976085471874,0.161140508264242
1.5,1.376455135247508,41,0.4927880435508152,0.9,0.01,0.4597717619933949,0.3967077933657823
1.1262525976392326,3.486043743581695,42,0.502317740599115,1.2,0.01,0.300000018715829,0.10000002668776779
