index,niter,value,w1,w2,w3,w4
max,148.10714679396565,0.418408682045157,1.2,0.8,0.6,0.6
0,140.0,0.32997622343789024,1.2,0.3,0.6,0.1
1,153.21715929006683,0.3224679209186049,1.2,0.3,0.6,0.1
2,190.0,0.38737654193356236,0.9,0.8,0.1,0.6
3,161.98928320979584,0.2918466630837546,0.9,0.3,0.1,0.6
4,146.18222650780788,0.41023041262961696,0.9,0.8,0.1,0.6
5,175.47531536934108,0.3953619226073797,0.9,0.8,0.1,0.6
6,146.0855487811323,0.4176562795994614,1.2,0.8,0.6,0.1
7,148.10714679396565,0.418408682045157,1.2,0.8,0.6,0.6
8,186.24262479949346,0.4140641428924552,1.2,0.8,0.6,0.6
9,144.67672379153723,0.4108430090264005,0.9,0.8,0.6,0.6
10,170.23934272984457,0.398918495643577,0.9,0.8,0.6,0.6
11,186.22479045445894,0.4140641428924552,1.2,0.8,0.1,0.6
12,145.98777985669435,0.32663579816440114,1.2,0.3,0.6,0.6
13,149.30952911469956,0.4085796432313378,0.9,0.8,0.6,0.1
14,187.42580045603097,0.413967038884033,1.2,0.8,0.6,0.1
15,166.07516740045207,0.41829831491449876,1.2,0.8,0.6,0.1
16,140.0,0.4176992599562606,1.2,0.8,0.1,0.6
17,170.9298631576845,0.4179729513248506,1.2,0.8,0.1,0.1
18,142.71339062576388,0.4163587751470356,1.1898638095137266,0.7965621858425873,0.18607775691848225,0.3399868935700051
19,169.0795195391783,0.41825735770195405,1.2,0.8,0.10000000169121034,0.6
