index,niter,value,w1,w2,w3,w4
79,175.99413499679218,0.45142039369196657,1.2,0.7,0.4,0.0
80,171.46575610313587,0.4536793311268217,0.9,0.7,0.1,0.0
81,183.9833022208839,0.43077082384638443,1.2,0.3,0.1,0.0
82,148.10226106279745,0.3797987354635005,0.9,0.3,0.1,0.0
83,189.29955049101073,0.3115065208270529,1.2,0.3,0.4,0.1
84,165.2600826985897,0.43169566562174366,1.2,0.3,0.1,0.0
85,172.62636590715172,0.46389348749537346,0.9,0.7,0.4,0.0
86,152.8910100693201,0.37933658469792353,0.9,0.3,0.1,0.0
87,146.3626669649379,0.47112467011959447,1.2,0.3,0.4,0.0
88,148.2391366177185,0.4709809642506193,1.2,0.3,0.4,0.0
89,140.0,0.4530841853996437,0.9,0.7,0.1,0.0
90,182.08300906154545,0.46341260471350176,1.2,0.7,0.1,0.0
91,142.3553803754732,0.4580010866694094,0.9,0.7,0.4,0.0
92,190.0,0.46385357171503316,1.2,0.7,0.1,0.0
93,181.59795460670017,0.4789388140106749,1.2,0.3,0.4,0.0
94,178.34905077169864,0.4516703001544691,1.2,0.7,0.4,0.0
95,149.47523834811122,0.46673141437800947,0.9,0.3,0.4,0.0
96,147.0805582643893,0.4664008835500666,0.9,0.3,0.4,0.0
97,150.06698277698735,0.471760104722098,1.2,0.3,0.4,0.0
98,158.39553930837153,0.47473004563622295,1.2,0.3,0.4,0.0
99,182.31560193573495,0.43101507815368145,1.2,0.3,0.1,0.0
