index,niter,value,w1,w2,w3,w4
max,181.9677523795705,0.4942368660604709,1.165286747626347,0.39798740241389224,0.11967296023671084,0.02323329794646367
0,140.0,0.31360890479474907,1.2,0.3,0.1,0.1
1,190.0,0.28640912332421825,0.9,0.7,0.4,0.1
2,149.30554100681044,0.43157186763550626,1.2,0.3,0.1,0.0
3,177.38045517419658,0.28559447953554795,0.9,0.7,0.4,0.1
4,185.0143401293821,0.3161061860922336,0.9,0.3,0.4,0.1
5,154.08739167493425,0.2833441275981756,0.9,0.7,0.4,0.1
6,144.73699993367458,0.2821355346179957,0.9,0.7,0.4,0.1
7,163.1302219030131,0.4315018180490398,1.2,0.3,0.1,0.0
8,181.27670003837122,0.45228473609875663,1.2,0.7,0.4,0.0
9,180.64491005981714,0.37426490127820633,0.9,0.3,0.1,0.0
10,172.02830104553087,0.4626996261722367,1.2,0.7,0.1,0.0
11,183.1367260964303,0.46357635215025744,1.2,0.7,0.1,0.0
12,173.8002211118268,0.3096122786739673,1.2,0.3,0.4,0.1
13,169.97582784748903,0.2844701616184343,0.9,0.7,0.4,0.1
14,157.15413560806613,0.43180131457941656,1.2,0.3,0.1,0.0
15,164.5640161892294,0.46206027134470057,1.2,0.7,0.1,0.0
16,147.12174240910633,0.4313079610917143,1.2,0.3,0.1,0.0
17,182.6345918937464,0.310531205700475,1.2,0.3,0.4,0.1
18,187.44730144597116,0.46380899363651784,1.2,0.7,0.1,0.0
19,148.2095869687143,0.2826459373732033,0.9,0.7,0.4,0.1
20,142.44538273499964,0.4323351584169058,1.2,0.3,0.1,0.0
21,151.92355046636845,0.4319897555243466,1.2,0.3,0.1,0.0
22,175.28529122742952,0.4630468934460543,1.2,0.7,0.1,0.0
23,181.8432805426748,0.29388708940217323,0.9,0.7,0.1,0.1
24,179.04629725846294,0.4632622821246577,1.2,0.7,0.1,0.0
25,185.8543049562928,0.4309027873518017,1.2,0.3,0.1,0.0
26,176.85983072705076,0.431614074257377,1.2,0.3,0.1,0.0
27,162.55440161932736,0.2840204909742323,0.9,0.7,0.4,0.1
28,141.37404129963087,0.4579392345472167,0.9,0.7,0.4,0.0
29,164.7240860643974,0.3161893995439082,0.9,0.3,0.1,0.1
30,168.2027802886161,0.4621270543334127,1.2,0.7,0.1,0.0
31,158.35911877219849,0.46092116172137976,1.2,0.7,0.1,0.0
32,188.40970013058282,0.372818716014351,0.9,0.3,0.1,0.0
33,161.08432479273782,0.46137694166832194,1.2,0.7,0.1,0.0
34,180.848473374195,0.431621798801658,1.2,0.3,0.1,0.0
35,150.7986956763387,0.27731800164843895,1.2,0.7,0.4,0.1
36,170.69619656292892,0.43194476935826276,1.2,0.3,0.1,0.0
37,155.75821409095843,0.46024436576392397,1.2,0.7,0.1,0.0
38,154.64746792086487,0.431142053918689,1.2,0.3,0.1,0.0
39,184.91090706669937,0.46347111463004964,1.2,0.7,0.1,0.0
40,186.6975596592233,0.4647070212438751,0.9,0.7,0.4,0.0
41,141.5324263025652,0.28776248841409363,1.2,0.7,0.1,0.1
42,141.56079000192216,0.3091322111536452,0.9,0.3,0.4,0.1
43,143.1656765914994,0.45266934113045676,0.9,0.7,0.1,0.0
44,140.0,0.45776192674987726,0.9,0.7,0.4,0.0
45,143.03043172781935,0.444090076998816,1.2,0.7,0.4,0.0
46,144.1574509896893,0.4327794828724438,1.2,0.3,0.1,0.0
47,175.34856493310437,0.37477387602501105,0.9,0.3,0.1,0.0
48,150.63273496975862,0.3796736135803166,0.9,0.3,0.1,0.0
49,178.80936165177542,0.47851852617572166,1.2,0.3,0.4,0.0
50,188.4437178985998,0.4532948866864296,1.2,0.7,0.4,0.0
51,168.53655304542102,0.47711353643591126,1.2,0.3,0.4,0.0
52,155.8587211370634,0.4673769436326578,0.9,0.3,0.4,0.0
53,157.07327815596858,0.27828290101824515,1.2,0.7,0.4,0.1
54,159.23075401902233,0.43149115483352424,1.2,0.3,0.1,0.0
55,155.81708467886247,0.31487586925409683,0.9,0.3,0.1,0.1
56,168.11188355355094,0.3762799862478325,0.9,0.3,0.1,0.0
57,155.45230678088527,0.47356527249719305,1.2,0.3,0.4,0.0
58,187.39016437289882,0.4789445679467564,1.2,0.3,0.4,0.0
59,173.51049480383443,0.45354482495646486,0.9,0.7,0.1,0.0
60,169.20950505166175,0.31967008561937177,1.2,0.3,0.1,0.1
61,171.8606722183892,0.46807875697096224,0.9,0.3,0.4,0.0
62,164.21303246005846,0.4762456753587563,1.2,0.3,0.4,0.0
63,161.31290084941213,0.4756198037793815,1.2,0.3,0.4,0.0
64,158.23604154578322,0.4674614299781772,0.9,0.3,0.4,0.0
65,143.36110099259707,0.46512932570314247,0.9,0.3,0.4,0.0
66,178.38647171328304,0.37487740252069257,0.9,0.3,0.1,0.0
67,160.94677401104977,0.37747011188174046,0.9,0.3,0.1,0.0
68,145.93638112484814,0.37969493225995127,0.9,0.3,0.1,0.0
69,167.5350096620833,0.44985740835714305,1.2,0.7,0.4,0.0
70,172.52303538691277,0.37529953793035065,0.9,0.3,0.1,0.0
71,171.20929908214987,0.4506180460113722,1.2,0.7,0.4,0.0
72,153.0681574363915,0.47265491588556197,1.2,0.3,0.4,0.0
73,152.97221571286414,0.45989097434873194,1.2,0.7,0.1,0.0
74,190.0,0.43044727856389986,1.2,0.3,0.1,0.0
75,185.91311919061107,0.4527560028005313,1.2,0.7,0.4,0.0
76,165.36571067100667,0.44957785004638384,1.2,0.7,0.4,0.0
77,179.76802810795468,0.4519679679801109,1.2,0.7,0.4,0.0
78,174.6068406661128,0.4640944506767427,0.9,0.7,0.4,0.0
