c1,c2,index,niter,value,w1,w2,w3
1.0272639659877334,3.237636186941438,max,142.05029701608206,0.48137780476606695,1.155558035883174,0.4579913330159002,0.2605105444228539
1.4937150501652232,0.16055140985356425,0,140.15405984631528,0.44733533410937387,0.9203562078275472,0.6412143440096657,0.10275317565160091
0.5,0.1,1,190.0,0.4489742596208335,1.2,0.3,0.4
0.5,5.0,2,153.31380300993416,0.36717354095897936,0.9,0.3,0.1
0.5,0.1,3,178.06686939052256,0.4432975836932205,1.2,0.3,0.4
1.5,5.0,4,190.0,0.4400774857701146,1.2,0.7,0.4
0.5,5.0,5,140.0,0.40843505452080514,0.9,0.7,0.1
1.5,0.1,6,149.44294722135106,0.44059477029765626,1.2,0.7,0.4
1.5,0.1,7,170.42238291029375,0.41605251245452335,1.2,0.3,0.1
0.5,5.0,8,182.4001412352458,0.37023212210400047,0.9,0.3,0.1
0.5,0.1,9,144.22641220680362,0.41645796320175493,1.2,0.3,0.4
1.5,5.0,10,162.08388496597806,0.4406737883869004,1.2,0.7,0.4
1.5,0.1,11,184.76495166550936,0.4547297540770334,0.9,0.7,0.4
1.5,5.0,12,145.41761522517007,0.4578514343090788,0.9,0.7,0.4
1.5,0.1,13,158.84674362108322,0.4549784983296111,0.9,0.3,0.4
1.5,5.0,14,140.0,0.4635050031565824,1.2,0.3,0.4
0.5,5.0,15,167.61069924935038,0.4368087131537739,1.2,0.3,0.4
0.5,0.1,16,161.39446737326298,0.42456866273190086,1.2,0.7,0.1
1.5,2.4134934917272575,17,143.72085787596907,0.3769868096646474,0.9,0.3,0.1
1.5,5.0,18,176.3109596964198,0.4406503791153348,1.2,0.7,0.4
0.5,1.0975671459380838,19,140.0,0.41485213707392143,1.2,0.3,0.4
0.5,0.1,20,154.38290969965837,0.40383409580378726,1.2,0.7,0.4
1.5,0.1,21,164.61993443474532,0.4405843147702705,1.2,0.7,0.4
0.5,2.74828589052623,22,173.13495084663995,0.4298335634808358,0.9,0.7,0.4
1.5,0.1,23,190.0,0.4384694263419827,0.9,0.7,0.1
1.5,5.0,24,142.32520402784854,0.4402935143273915,1.2,0.7,0.4
0.5,5.0,25,148.6182450586847,0.4005140170352994,1.2,0.7,0.4
1.5,5.0,26,157.36872117505044,0.45771721547517286,0.9,0.7,0.4
0.5,2.731208139472878,27,187.57856742268962,0.4372519063501758,0.9,0.7,0.1
1.5,1.9822668935969736,28,179.79817829772048,0.4411506661381282,0.9,0.7,0.1
1.5,5.0,29,186.23006598043116,0.46051692055192406,1.2,0.3,0.4
1.5,0.1,30,175.48774251462288,0.36471432149953015,0.9,0.3,0.1
0.5,3.164987933846487,31,159.5428843904833,0.429378500962684,0.9,0.3,0.4
0.5,0.1,32,167.92543520099463,0.4272211376436321,0.9,0.7,0.4
1.5,2.847422069856707,33,140.0,0.43916239956451775,1.2,0.7,0.4
0.5,5.0,34,172.67971194289944,0.4117464851730962,1.2,0.3,0.1
1.5,2.9911754045281183,35,166.13097631888144,0.3691861195124888,0.9,0.3,0.1
0.5,0.1,36,182.06078808474643,0.4359297289271042,1.2,0.7,0.1
1.5,2.5139674206466953,37,154.26723964193934,0.4637927706470446,1.2,0.3,0.4
1.5,2.002366319327772,38,188.38666822939763,0.46257444203049874,1.2,0.3,0.4
0.5,5.0,39,144.66960222954702,0.4186152071173331,1.2,0.3,0.4
1.5,5.0,40,151.42413025090036,0.45799361057840476,0.9,0.7,0.4
1.5,2.9171431395299927,41,183.68061983791745,0.4391131562922235,1.2,0.7,0.4
1.5,0.1,42,152.64316617595927,0.45626092791418715,0.9,0.3,0.4
1.5,3.3147697800531377,43,171.24760875234296,0.46243509741579736,1.2,0.3,0.4
0.5,0.1,44,163.64623067756796,0.43132980597954895,0.9,0.3,0.4
0.5,2.8175855361656383,45,169.59230186558108,0.4340543599739126,1.2,0.7,0.1
1.5,1.6427247507107112,46,156.76523450333056,0.4445500167037425,0.9,0.7,0.1
0.5,2.509571196291205,47,163.74108376670546,0.41242417932006087,1.2,0.7,0.4
1.5,5.0,48,159.24296809022016,0.41685987242893,1.2,0.3,0.1
0.5,0.1,49,187.2329673491168,0.4252669925531769,1.2,0.7,0.4
1.5,0.1,50,180.70447537788561,0.46386960736041016,1.2,0.3,0.4
1.5,0.1,51,142.04218716542772,0.44002138360655535,1.2,0.7,0.4
0.5,5.0,52,190.0,0.37013303783991325,0.9,0.3,0.1
0.5,0.1,53,165.95594341405808,0.4130173776898181,1.2,0.3,0.1
0.5,1.8747014302646612,54,150.98099968538185,0.4143891951440858,0.9,0.7,0.4
1.5,1.8982258848226852,55,160.65954696687353,0.45714030813464634,0.9,0.7,0.4
0.5,5.0,56,170.47693742113665,0.42717305623883783,0.9,0.7,0.4
0.5,3.225184659198541,57,178.00117766512378,0.44810376335470053,1.2,0.3,0.4
1.5,5.0,58,148.25971910394935,0.4578755730413683,0.9,0.3,0.4
1.5,5.0,59,179.6831763634248,0.4610937497256964,1.2,0.3,0.4
1.5,3.63307448025079,60,141.10092194558248,0.46291327754555334,0.9,0.3,0.4
0.5,0.1,61,141.83309538548139,0.41291705595966244,0.9,0.7,0.1
0.5,2.1493191391039934,62,190.0,0.43872938907390496,0.9,0.7,0.4
0.5,0.1,63,172.40097967799684,0.41642614032494163,1.2,0.7,0.4
0.5,5.0,64,160.6241755399395,0.4207129520480921,0.9,0.7,0.4
0.5,1.2025117896386848,65,181.5636837732194,0.4422647633578104,0.9,0.3,0.4
1.5,5.0,66,187.86846979050983,0.4564133557755719,0.9,0.7,0.4
1.5,3.2738716173874995,67,147.87328878052355,0.4390019769527349,1.2,0.7,0.4
1.5,3.6535856068385115,68,140.87475438925534,0.4245213987759911,1.2,0.3,0.1
0.5,3.143581376980755,69,142.83079072025615,0.4083551128421374,0.9,0.7,0.4
1.5,2.724951590794003,70,151.12781992575893,0.4642509988879314,1.2,0.3,0.4
1.5,5.0,71,154.4171919451728,0.4405586383306408,1.2,0.7,0.4
0.5,0.1,72,150.34939310333453,0.4062727446844206,1.2,0.3,0.1
0.5,5.0,73,187.10205217967814,0.42588208623747814,1.2,0.7,0.4
1.5,5.0,74,172.49292198878126,0.44067699158741314,1.2,0.7,0.4
0.5,5.0,75,178.5573973201024,0.43208956754999406,0.9,0.7,0.4
1.5,5.0,76,146.37373795244946,0.4632256904044051,1.2,0.3,0.4
0.5,0.1,77,158.52648263380783,0.42149400154860894,0.9,0.7,0.4
1.5,1.212248071362003,78,185.10102800622352,0.4133763175753123,1.2,0.3,0.1
1.5,5.0,79,168.55324482208474,0.44060326862325,1.2,0.7,0.4
1.5,1.597791024595647,80,171.3704412102038,0.44068738821091635,0.9,0.7,0.1
1.5,2.2352810541602204,81,152.7522834232973,0.4480939635089144,0.9,0.7,0.1
0.5,0.7985099360391207,82,164.8688380546683,0.4246240825281473,0.9,0.7,0.1
1.5,1.8058517698908179,83,168.91933611259103,0.4577450164991,0.9,0.3,0.4
1.5,1.2622415700705085,84,162.88949184676048,0.46448028607226666,1.2,0.3,0.4
1.5,1.8345827146370246,85,158.64005456224197,0.4409625243601295,1.2,0.7,0.4
1.5,5.0,86,177.74348343209917,0.3653761629664516,0.9,0.3,0.1
1.5,1.5710390452093825,87,177.2936594361849,0.4398080300336542,1.2,0.7,0.4
